Timestamp;Suspension1;Suspension2;Suspension3;Suspension4;Steering;RPM_FrontRight;RPM_FrontLeft;RPM_RearRight;RPM_RearLeft;SUS1MM;SUS2MM;SUS3MM;SUS4MM;index
05/02/2025 11:37;11808;11546;11668;10421;12791;0;0;0;0;42.81361097;43.59633137;43.23185851;46.95724913;117
05/02/2025 11:37;11808;11558;11668;10421;12791;0;0;0;0;42.81361097;43.56048158;43.23185851;46.95724913;118
05/02/2025 11:37;11806;11548;11669;10423;12791;0;0;0;0;42.81958593;43.59035641;43.22887103;46.95127416;119
05/02/2025 11:37;11805;11555;11668;10426;12792;0;0;0;0;42.82257342;43.56944403;43.23185851;46.94231171;120
05/02/2025 11:37;11808;11544;11665;10422;12791;0;0;0;0;42.81361097;43.60230634;43.24082096;46.95426164;121
05/02/2025 11:37;11810;11541;11667;10421;12794;0;0;0;0;42.80763601;43.61126878;43.234846;46.95724913;122
05/02/2025 11:37;11810;11544;11666;10421;12795;0;0;0;0;42.80763601;43.60230634;43.23783348;46.95724913;123
05/02/2025 11:37;11810;11542;11667;10421;12794;0;0;0;0;42.80763601;43.6082813;43.234846;46.95724913;124
05/02/2025 11:37;11809;11552;11666;10424;12794;0;0;0;0;42.81062349;43.57840648;43.23783348;46.94828668;125
05/02/2025 11:37;11807;11547;11666;10421;12792;0;0;0;0;42.81659845;43.59334389;43.23783348;46.95724913;126
05/02/2025 11:37;11808;11555;11667;10424;12794;0;0;0;0;42.81361097;43.56944403;43.234846;46.94828668;127
05/02/2025 11:37;11807;11549;11667;10422;12792;0;0;0;0;42.81659845;43.58736892;43.234846;46.95426164;128
05/02/2025 11:37;11806;11558;11666;10426;12792;0;0;0;0;42.81958593;43.56048158;43.23783348;46.94231171;129
05/02/2025 11:37;11805;11550;11665;10423;12790;0;0;0;0;42.82257342;43.58438144;43.24082096;46.95127416;130
05/02/2025 11:37;11809;11547;11666;10426;12792;0;0;0;0;42.81062349;43.59334389;43.23783348;46.94231171;131
05/02/2025 11:37;11808;11544;11669;10424;12793;0;0;0;0;42.81361097;43.60230634;43.22887103;46.94828668;132
05/02/2025 11:37;11808;11543;11666;10421;12794;0;0;0;0;42.81361097;43.60529382;43.23783348;46.95724913;133
05/02/2025 11:37;11809;11545;11669;10420;12793;0;0;0;0;42.81062349;43.59931885;43.22887103;46.96023661;134
05/02/2025 11:37;11808;11544;11668;10424;12794;0;0;0;0;42.81361097;43.60230634;43.23185851;46.94828668;135
05/02/2025 11:37;11807;11543;11669;10422;12789;0;0;0;0;42.81659845;43.60529382;43.22887103;46.95426164;136
05/02/2025 11:37;11808;11552;11668;10427;12793;0;0;0;0;42.81361097;43.57840648;43.23185851;46.93932423;137
05/02/2025 11:37;11806;11549;11668;10421;12793;0;0;0;0;42.81958593;43.58736892;43.23185851;46.95724913;138
05/02/2025 11:37;11809;11550;11666;10427;12791;0;0;0;0;42.81062349;43.58438144;43.23783348;46.93932423;139
05/02/2025 11:37;11807;11539;11667;10422;12792;0;0;0;0;42.81659845;43.61724375;43.234846;46.95426164;140
05/02/2025 11:37;11809;11538;11670;10423;12793;0;0;0;0;42.81062349;43.62023123;43.22588355;46.95127416;141
05/02/2025 11:37;11809;11537;11669;10418;12792;0;0;0;0;42.81062349;43.62321871;43.22887103;46.96621157;142
05/02/2025 11:37;11806;11544;11669;10425;12792;0;0;0;0;42.81958593;43.60230634;43.22887103;46.9452992;143
05/02/2025 11:37;11806;11549;11669;10424;12791;0;0;0;0;42.81958593;43.58736892;43.22887103;46.94828668;144
05/02/2025 11:37;11805;11552;11669;10426;12791;0;0;0;0;42.82257342;43.57840648;43.22887103;46.94231171;145
05/02/2025 11:37;11805;11542;11669;10427;12790;0;0;0;0;42.82257342;43.6082813;43.22887103;46.93932423;146
05/02/2025 11:37;11805;11553;11669;10425;12792;0;0;0;0;42.82257342;43.57541899;43.22887103;46.9452992;147
05/02/2025 11:37;11802;11546;11668;10423;12791;0;0;0;0;42.83153586;43.59633137;43.23185851;46.95127416;148
05/02/2025 11:37;11806;11544;11670;10425;12792;0;0;0;0;42.81958593;43.60230634;43.22588355;46.9452992;149
05/02/2025 11:37;11808;11540;11669;10421;12792;0;0;0;0;42.81361097;43.61425627;43.22887103;46.95724913;150
05/02/2025 11:37;11810;11539;11670;10419;12795;0;0;0;0;42.80763601;43.61724375;43.22588355;46.96322409;151
05/02/2025 11:37;11807;11556;11670;10428;12792;0;0;0;0;42.81659845;43.56645655;43.22588355;46.93633675;152
05/02/2025 11:37;11807;11547;11669;10423;12787;0;0;0;0;42.81659845;43.59334389;43.22887103;46.95127416;153
05/02/2025 11:37;11808;11554;11669;10426;12791;0;0;0;0;42.81361097;43.57243151;43.22887103;46.94231171;154
05/02/2025 11:37;11806;11543;11667;10424;12790;0;0;0;0;42.81958593;43.60529382;43.234846;46.94828668;155
